 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
27.52808988764045, 0, 19.08012, 0, 0, 11.75377, 0, 0.3963875, 2.980232e-08, 0.338769, 0.5573746, 2.365645, 4.989713, 0.1876278, 0, 20.0629, 0.9098159, 3.08853, 0, 0.1187723, 9.127849, 0.6247196, 10.29845, 0.1071747, 0, 0.1716703, 1.16391, 1.757176, 1.676951, 1.227966, 0.2617939, 0, 4.69432, 1.7295
28.08988764044944, 0, 18.14573, 0, 0.3793879, 12.66144, 0, 0.3398321, 0.1304494, 0.31692, 0.5235716, 2.582833, 4.609234, 0.167784, 0, 21.86358, 0.869607, 2.922799, 0, 0.1103967, 16.0353, 0.5975659, 9.615254, 0.1003748, 0, 0.1639012, 1.069644, 1.67844, 1.603739, 1.152976, 0.2480842, 0, 4.150879, 1.553671
28.65168539325843, 0, 17.25711, 0, 0.3524786, 12.38499, 0, 0.2913458, 0.1208909, 0.2964802, 0.4918187, 2.345922, 4.257768, 0.1500389, 0, 20.90616, 0.831175, 2.765961, 0, 0.1026117, 14.98061, 0.7125827, 8.977383, 0.09400636, 0, 0.1564838, 0.983013, 1.600681, 1.533723, 1.082565, 0.7376107, 0, 3.67035, 1.395718
29.21348314606741, 0, 17.76638, 0.5376616, 0.327478, 11.70902, 0, 0.2497775, 0.1120327, 0.2773587, 0.4619915, 2.130742, 3.933101, 0.1341705, 0, 19.99067, 0.7944416, 2.617539, 0, 0.09537571, 13.99529, 0.68161, 8.968773, 0.08804196, 0, 0.149402, 1.066654, 1.526523, 1.466765, 2.720026, 0.6989836, 0, 3.24545, 1.253823
29.7752808988764, 0, 16.89634, 0.502913, 0.3042506, 13.74946, 0, 0.2141399, 0.1038237, 0.2594704, 0.4339733, 1.935299, 3.633192, 0.1199804, 0, 19.11527, 0.7593316, 2.477082, 0, 0.08865, 14.29326, 0.6519835, 9.332568, 0.08245599, 0, 0.1426408, 0.980265, 1.455802, 1.402729, 2.553918, 0.6623793, 0, 4.63915, 1.126353
30.33707865168539, 0, 17.23635, 0.8230954, 0.6081568, 13.65569, 0, 0.1835871, 0.0962161, 0.7804388, 0.4076542, 1.757783, 3.356151, 0.1072911, 0, 18.27821, 0.7257733, 3.362247, 0, 0.08239856, 13.59319, 0.6236448, 8.71345, 0.07722442, 0, 0.1361855, 0.9008729, 2.353829, 1.341489, 2.397954, 0.6276919, 0, 4.102096, 1.876126
30.89887640449438, 0, 16.39225, 1.025254, 0.5650214, 12.91037, 0, 0.8100308, 0.08916597, 0.7301043, 0.3829314, 1.596549, 3.100235, 0.1401695, 0, 17.80592, 0.693698, 5.172989, 0, 0.07658797, 13.07807, 0.5965378, 10.71439, 0.07232478, 0, 0.1300223, 0.8279107, 2.244779, 1.282923, 2.251514, 0.5948209, 0, 4.506934, 1.685391
31.46067415730337, 0, 16.23197, 0.9589929, 0.5249455, 14.00971, 0, 0.6944579, 0.08263244, 0.6830161, 0.3597078, 1.450105, 2.863834, 0.1253449, 0, 17.02619, 0.6630404, 4.895406, 0, 0.07118712, 13.86804, 0.570609, 10.0036, 0.06773601, 3.906031, 0.1241381, 1.400719, 2.140782, 1.226913, 11.20994, 0.5636714, 0, 4.535254, 1.514046
32.02247191011236, 0, 16.17762, 0.9293804, 0.4877121, 13.24506, 0, 0.5953747, 0.07657763, 0.6389649, 0.6814896, 1.317094, 2.645459, 0.57073, 0, 16.2806, 0.6337376, 4.632718, 0, 0.06616715, 12.9559, 0.5458073, 9.339968, 0.06343838, 4.465121, 0.1185202, 2.280687, 2.041602, 1.173349, 11.02762, 0.5341531, 0, 4.010228, 1.360121
32.58426966292135, 0, 15.64501, 0.8693154, 0.4531196, 12.86694, 0, 0.5104284, 0.0709665, 0.5977547, 0.6401595, 1.196283, 2.443736, 0.5103686, 0, 16.78725, 0.6057298, 10.12254, 0, 0.06150117, 12.10374, 0.5320541, 11.09147, 0.05941342, 4.255935, 0.1131565, 2.095973, 1.947018, 1.122123, 15.6891, 0.5061806, 0, 3.545981, 1.853052
